"Population estimates, July 1, by census subdivision, 2021 boundaries 1 2 3 4 5 6 7"
"Frequency: Annual"
"Table: 17-10-0155-01"
"Release date: 2025-01-16"
"Geography: Canada, Province or territory, Census subdivision"
""
""

"Geography","2024"
,"Persons"
"Division No.  1, Subd. L (SNO), Newfoundland and Labrador","892"
"Natuashish 2 (IRI), Newfoundland and Labrador","863"
"Division No.  7, Subd. F (SNO), Newfoundland and Labrador","803"
"Division No.  1, Subd. O (SNO), Newfoundland and Labrador","908"
"LaScie (T), Newfoundland and Labrador","806"
"Cape St. George (T), Newfoundland and Labrador","789"
"Summerford (T), Newfoundland and Labrador","767"
"Division No.  4, Subd. D (SNO), Newfoundland and Labrador","826"
"Carmanville (T), Newfoundland and Labrador","786"
"Salmon Cove (T), Newfoundland and Labrador","765"
"Division No.  5, Subd. F (SNO), Newfoundland and Labrador","780"
"Glenwood (T), Newfoundland and Labrador","769"
"Division No. 10, Subd. D (SNO), Newfoundland and Labrador","739"
"Port au Choix (T), Newfoundland and Labrador","725"
"Peterview (T), Newfoundland and Labrador","753"
"Robert's Arm (T), Newfoundland and Labrador","709"
"Norris Arm (T), Newfoundland and Labrador","734"
"Mount Moriah (T), Newfoundland and Labrador","733"
"Brigus (T), Newfoundland and Labrador","766"
"Cupids (T), Newfoundland and Labrador","733"
"L'Anse au Loup (T), Newfoundland and Labrador","715"
"Badger (T), Newfoundland and Labrador","706"
"Embree (T), Newfoundland and Labrador","683"
"South River (T), Newfoundland and Labrador","740"
"Port Saunders (T), Newfoundland and Labrador","693"
"Milltown-Head of Bay d'Espoir (T), Newfoundland and Labrador","684"
"Cox's Cove (T), Newfoundland and Labrador","692"
"King's Point (T), Newfoundland and Labrador","653"
"Norman's Cove-Long Cove (T), Newfoundland and Labrador","699"
"Division No.  1, Subd. A (SNO), Newfoundland and Labrador","652"
"Heart's Delight-Islington (T), Newfoundland and Labrador","681"
"Conception Harbour (T), Newfoundland and Labrador","661"
"Appleton (T), Newfoundland and Labrador","643"
"Colliers (T), Newfoundland and Labrador","639"
"Old Perlican (T), Newfoundland and Labrador","650"
"Norris Point (T), Newfoundland and Labrador","619"
"Hopedale (T), Newfoundland and Labrador","595"
"St. Lunaire-Griquet (T), Newfoundland and Labrador","566"
"Division No.  6, Subd. D (SNO), Newfoundland and Labrador","627"
"Division No.  4, Subd. C (SNO), Newfoundland and Labrador","609"
"Buchans (T), Newfoundland and Labrador","587"
"Avondale (T), Newfoundland and Labrador","641"
"Lawn (T), Newfoundland and Labrador","557"
"Dover (T), Newfoundland and Labrador","601"
"North River (T), Newfoundland and Labrador","631"
"Point Leamington (T), Newfoundland and Labrador","578"
"Meadows (T), Newfoundland and Labrador","586"
"Division No.  3, Subd. H (SNO), Newfoundland and Labrador","546"
"Division No.  8, Subd. C (SNO), Newfoundland and Labrador","609"
"Musgravetown (T), Newfoundland and Labrador","581"
"North West River (T), Newfoundland and Labrador","600"
"Isle aux Morts (T), Newfoundland and Labrador","546"
"Reidville (T), Newfoundland and Labrador","619"
"St. Jacques-Coomb's Cove (T), Newfoundland and Labrador","513"
"Garnish (T), Newfoundland and Labrador","535"
"Lewin's Cove (T), Newfoundland and Labrador","558"
"Division No.  1, Subd. X (SNO), Newfoundland and Labrador","613"
"Port au Port East (T), Newfoundland and Labrador","563"
"Burnt Islands (T), Newfoundland and Labrador","524"
"Lumsden (T), Newfoundland and Labrador","555"
"Division No.  1, Subd. F (SNO), Newfoundland and Labrador","578"
"Division No.  2, Subd. C (SNO), Newfoundland and Labrador","491"
"Division No.  9, Subd. D (SNO), Newfoundland and Labrador","549"
"McIvers (T), Newfoundland and Labrador","536"
"Port Blandford (T), Newfoundland and Labrador","554"
"Birchy Bay (T), Newfoundland and Labrador","500"
"Trout River (T), Newfoundland and Labrador","502"
"Lark Harbour (T), Newfoundland and Labrador","503"
"Division No.  2, Subd. K (SNO), Newfoundland and Labrador","474"
"Lourdes (T), Newfoundland and Labrador","532"
"Cape Broyle (T), Newfoundland and Labrador","527"
"Cormack (T), Newfoundland and Labrador","515"
"Division No.  8, Subd. E (SNO), Newfoundland and Labrador","554"
"Englee (T), Newfoundland and Labrador","482"
"Division No.  1, Subd. W (SNO), Newfoundland and Labrador","541"
"Division No.  7, Subd. J (SNO), Newfoundland and Labrador","486"
"Eastport (T), Newfoundland and Labrador","477"
"Campbellton (T), Newfoundland and Labrador","453"
"Chapel Arm (T), Newfoundland and Labrador","485"
"Middle Arm (T), Newfoundland and Labrador","435"
"Terrenceville (T), Newfoundland and Labrador","434"
"Cartwright, Labrador (T), Newfoundland and Labrador","419"
"Winterton (T), Newfoundland and Labrador","423"
"Hampden (T), Newfoundland and Labrador","457"
"St. Bernard's-Jacques Fontaine (T), Newfoundland and Labrador","426"
"Gillams (T), Newfoundland and Labrador","437"
"Port au Port West-Aguathuna-Felix Cove (T), Newfoundland and Labrador","433"
"South Brook (T), Newfoundland and Labrador","421"
"Bauline (T), Newfoundland and Labrador","477"
"Steady Brook (T), Newfoundland and Labrador","434"
"Division No.  5, Subd. G (SNO), Newfoundland and Labrador","388"
"Division No.  8, Subd. G (SNO), Newfoundland and Labrador","423"
"Small Point-Adam's Cove-Blackhead-Broad Cove (T), Newfoundland and Labrador","389"
"Sunnyside (T), Newfoundland and Labrador","419"
"Hermitage-Sandyville (T), Newfoundland and Labrador","396"
"Trepassey (T), Newfoundland and Labrador","441"
"Port Hope Simpson (T), Newfoundland and Labrador","397"
"Winterland (T), Newfoundland and Labrador","392"
"Cow Head (T), Newfoundland and Labrador","393"
"Division No.  8, Subd. A (SNO), Newfoundland and Labrador","387"
"Ramea (T), Newfoundland and Labrador","375"
"Forteau (T), Newfoundland and Labrador","374"
"Mount Carmel-Mitchells Brook-St. Catherine's (T), Newfoundland and Labrador","357"
"York Harbour (T), Newfoundland and Labrador","398"
"Ferryland (T), Newfoundland and Labrador","404"
"Northern Arm (T), Newfoundland and Labrador","384"
"Makkovik (T), Newfoundland and Labrador","364"
"Parson's Pond (T), Newfoundland and Labrador","389"
"Port Rexton (T), Newfoundland and Labrador","352"
"Division No.  1, Subd. B (SNO), Newfoundland and Labrador","375"
"Division No.  1, Subd. N (SNO), Newfoundland and Labrador","365"
"Division No.  6, Subd. C (SNO), Newfoundland and Labrador","366"
"Whiteway (T), Newfoundland and Labrador","385"
"Belleoram (T), Newfoundland and Labrador","327"
"Bay de Verde (T), Newfoundland and Labrador","355"
"Bryant's Cove (T), Newfoundland and Labrador","376"
"Comfort Cove-Newstead (T), Newfoundland and Labrador","379"
"Rose Blanche-Harbour le Cou (T), Newfoundland and Labrador","326"
"Division No.  1, Subd. H (SNO), Newfoundland and Labrador","410"
"Heart's Content (T), Newfoundland and Labrador","339"
"Rigolet (T), Newfoundland and Labrador","328"
"Hant's Harbour (T), Newfoundland and Labrador","305"
"Division No.  1, Subd. I (SNO), Newfoundland and Labrador","349"
